Name,Condition,RecP,Total Count,Recommendations,Acrive Ingredients,Uses,
Coldcalm,Homeopathic Cold Products,4 %,782474,31298.96,"Allium cepa 3C HPUS; Relieves sneezing and runny nose

		Apis mellifica 6C; Relieves nasal congestion

		Belladonna 6C HPUS*; Relieves colds with sudden onset

		Eupatorium perfoliatum 3C HPUS;  Relieves sinus pain

		Gelsemium sempervirens 6C HPUS;  Relieves headeaches associated with colds

		Kali bichromicum 6C HPUS;  Relieves nasal discharge

		Nux vomica 3C HPUS*; Relieves sneezing attacks

		Phytolacca decandra 6C HPUS; Relieves sore throat associated with colds

		Pulsatilla 6C HPUS; Relieves colds with a loss of taste and smell

* contains less than 10-6 mg alkloids",,
Tylenol Cold Multi-Symptom Nighttime,"Cough/Cold/Flu Combinations, Nighttime",10%,1851031,185103.1,"In each 15ml

	Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Doxylamine succinate 6.25 mg; Antihistamine

	Phenylephrine HCl 5 mg; Nasal decongestant","['temporarily relieves these common cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\trunny nose and sneezing\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsinus congestion and pressure', 'minor aches and pains', 'headache', 'sore throat', 'nasal congestion', 'runny nose and sneezing', 'cough', 'sinus congestion and pressure', 'helps clear nasal passages', 'relieves cough to help you sleep', 'temporarily reduces fever']",
,,,,0,,,
Triaminic,Children's Cough/Cold Combinations,6 %,1067288,64037.28,"In each 5 mL teaspoonful:
Brompheniramine maleate 1 mg; Antihistamine
Phenylephrine HCl 2.5 mg; Nasal decongestant","['temporarily relieves nasal and sinus congestion due to a cold, hay fever or other respiratory allergies', 'temporarily relieves these symptoms due to hay fever, or other respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy nose or throat\n\r\n\t\t\t\titchy, watery eyes', 'runny nose', 'sneezing', 'itchy nose or throat', 'itchy, watery eyes']",
Triaminic,Children's Cough/Cold Combinations,6 %,1067288,64037.28,"Diphenhydramine HCl 6.25 mg; Antihistamine/cough suppressant
Phenylephrine HCl 2.5 mg; Nasal decongestant","['temporarily relieves\r\n\t\t\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy nose or throat\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\titchy, watery eyes due to hay fever\n\r\n\t\t\t\tnasal and sinus congestion\xc2\xa0\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with a cold', 'sneezing', 'itchy nose or throat', 'runny nose', 'itchy, watery eyes due to hay fever', 'nasal and sinus congestion\xc2\xa0', 'cough due to minor throat and bronchial irritation as may occur with a cold']",
Children's Dimetapp,Children's Cough/Cold Combinations,26%,1067288,277494.88,"In each 10ml
	Brompheniramine maleate, USP 1 mg; antihistamine
	Phenylephrine HCl, USP 2.5 mg; nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves these symptoms due to hay fever (allergic rhinitis):\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
Children's Dimetapp,Children's Cough/Cold Combinations,26%,1067288,277494.88,"In each tablet
	Brompheniramine maleate, USP 1 mg; Antihistamine
	Phenylephrine HCl, USP 2.5 mg; Nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves these symptoms due to hay fever (allergic rhinitis) or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat', 'temporarily restores freer breathing through the nose']",
Children's Dimetapp,Children's Cough/Cold Combinations,26%,1067288,277494.88,"In each 10ml:
Brompheniramine maleate, USP 2 mg; antihistamine
Dextromethorphan HBr, USP 10 mg; cough suppressant
Phenylephrine HCl , USP 5 mg; nasal decongestant","['temporarily relieves cough due to minor throat and bronchial irritation occurring with a cold, and nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves these symptoms due to hay fever (allergic rhinitis):\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat', 'temporarily restores freer breathing through the nose']",
Children's Dimetapp,Children's Cough/Cold Combinations,26%,1067288,277494.88,"In each 10ml:
Acetaminophen, USP 320 mg; pain reliever/fever reducer
Diphenhydramine HCl, USP 12.5 mg; antihistamine/cough suppressant
Phenylephrine HCl, USP 5 mg; nasal decongestant","['temporarily relieves these symptoms associated with a cold, or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tfever\n\r\n\t\t\t\tminor aches and pains', 'headache', 'sore throat', 'fever', 'minor aches and pains', 'temporarily relieves nasal congestion, and cough due to minor throat and bronchial irritation occurring with a cold', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titching of the nose or throat\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\trunny nose', 'sneezing', 'itching of the nose or throat', 'itchy, watery eyes', 'runny nose', 'temporarily restores freer breathing through the nos']",
Children's Dimetapp,Children's Cough/Cold Combinations,26%,1067288,277494.88,"In each 5ml:
	Chlorpheniramine maleate, USP 1.0 mg; antihistamine
	Dextromethorphan HBr, USP 7.5 mg; cough suppressant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
Children's Dimetapp,Children's Cough/Cold Combinations,26%,1067288,277494.88,"In each 5ml:
Diphenhydramine HCl, USP 6.25 mg; Antihistamine/Cough suppressant
Phenylephrine HCl, USP 2.5 mg; Nasal decongestant","['temporarily relieves these symptoms occurring with a cold, hay fever, or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tcough\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'nasal congestion', 'cough', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
Little Remedies,Children's Cough/Cold Combinations,8 %,1067288,85383.04,Acetaminophen 80 mg/1.0 mL,"['reduces fever\xc2\xa0', 'relieves minor aches and\xc2\xa0pains which may be associated with the common cold, flu,\xc2\xa0headache, sore throat or toothache.']",
Little Remedies,Children's Cough/Cold Combinations,8 %,1067288,85383.04,Guaifenesin 100 mg (in each packet), Expectorant,
Children's Robitussin,Children's Cough/Cold Combinations,10%,1067288,106728.8,"Active ingredient (in each 5 ml tsp)
Dextromethorphan HBr, USP 7.5 mg",,
Children's Robitussin,Children's Cough/Cold Combinations,10%,1067288,106728.8,"In each 5 ml:
Dextromethorphan HBr, USP 5 mg; Cough suppressant
Guaifenesin, USP 100 mg; Expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes']",
Children's Robitussin,Children's Cough/Cold Combinations,10%,1067288,106728.8," 
In each 5 mL:
Dextromethorphan HBr, USP 5 mg Cough suppressant
Guaifenesin, USP 50 mg Expectorant
Phenylephrine HCl, USP 2.5 mg Nasal decongestant","['helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes', 'temporarily relieves these symptoms occurring with a cold:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation', 'nasal congestion', 'cough due to minor throat and bronchial irritation']",
Children's Robitussin,Children's Cough/Cold Combinations,10%,1067288,106728.8,"Chlorpheniramine maleate, USP 2 mg: Antihistamine

Dextromethorphan HBr, USP 15 mg: Cough suppressant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
Children's Robitussin,Children's Cough/Cold Combinations,10%,1067288,106728.8,"Chlorpheniramine maleate, USP 1 mg; Antihistamine
Dextromethorphan HBr, USP 7.5 mg; Cough suppressant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL (5 mL = one teaspoon)
Dextromethorphan HBr 7.5 mg: Cough suppressant",,
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL (1 teaspoon):

	Dextromehorphan HBr, USP 5 mg: cough supressant
	Guaifenesin, USP 100 mg: expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help your child get to sleep', 'cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the intensity of coughing', 'the impulse to cough to help your child get to sleep']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"Iin each 5 mL, 1 teaspoon:
Acetaminophen 160 mg: Pain reliever/fever reducer
Chlorpheniramine maleate 1 mg: Antihistamine
Dextromethorphan HBr 5 mg: Cough Suppressant
Phenylephrine HCI 2.5 mg: Nasal decongestant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'cough', 'headache', 'sore throat\xc2\xa0', 'sneezing and runny nose\xc2\xa0', 'stuffy nose', 'temporarily reduces fever']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 0.8 mL:

	Acetaminophen 80 mg","['reduces fever', 'relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tflu\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\theadache', 'the common cold', 'flu', 'sore throat', 'toothache', 'headache']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL (1 teaspoon):
Diphenhydramine HCl 12.5 mg: Antihistamine/cough suppressant
Phenylephrine HCl 5 mg: Nasal decongestant","['temporarily relieves these symptoms due to hay fever or other\xc2\xa0upper respiratory allergies:', 'runny nose', 'sneezing\xc2\xa0', 'itchy, watery eyes', 'nasal congestion\xc2\xa0', 'itching of the nose or throat', 'temporarily relieves these symptoms due to the common cold:', 'runny nose\xc2\xa0', 'sneezing\xc2\xa0', 'nasal congestion\xc2\xa0', 'cough']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"Active ingredient in each 5 mL (1 teaspoonful):

			Phenylephrine HCl 2.5 mg: Nasal decongestant",,
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 0.8 mL:

	Acetaminophen 80mg: Pain reliever/fever reducer","['reduces fever', 'relieves minor aches and pains due to:', 'the common cold', 'flu', 'sore throat', 'toothache', 'headache']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL (1 teaspoon):

	Acetaminophen 160 mg","['the common cold', 'flu', 'headache', 'sore throat', 'toothache']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL, 1 teaspoon:

	Acetaminophen 160 mg; Pain reliever/fever reducer
	Dextromethorphan HBr 5 mg; Cough Suppressant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'cough', 'headache', 'sore throat\xc2\xa0', 'temporarily reduces fever']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL (1 teaspoon):

			Acetaminophen 160 mg: Pain reliever/fever reducer","['the common cold', 'flu', 'headache', 'sore throat', 'toothache']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL (1 teaspoon):

	Acetaminophen 160 mg: Pain reliever/fever reducer","['the common cold', 'flu', 'headache', 'sore throat', 'toothache']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL:
	Acetaminophen 160 mg","['reduces fever', 'relieves minor aches and pains due to:\r\n\t\t\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 \xe2\x97\x8b the common cold\r\n\t\t\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 \xe2\x97\x8b flu\r\n\t\t\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 \xe2\x97\x8b headache\r\n\t\t\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 \xe2\x97\x8b sore throat\r\n\t\t\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 \xe2\x97\x8b toothache']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"Active ingredient (in each 5 mL, 1 teaspoon):
Acetaminophen 160 mg: Pain reliever/fever reducer
Chlorpheniramine maleate 1 mg: Antihistamine
Dextromethorphan HBr 5 mg: Cough Suppressant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'cough', 'headache', 'sore throat', 'sneezing and runny nose\xc2\xa0', 'temporarily reduces fever']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL (1 teaspoon):
	Acetaminophen 160 mg: Fever reducer/pain reliever","['the common cold', 'flu', 'headache', 'sore throat', 'toothache']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL, 1 teaspoon:
Acetaminophen 160 mg: Pain reliever/fever reducer
Chlorpheniramine maleate 1 mg: Antihistamine
Dextromethorphan HBr 5 mg: Cough Suppressant
Phenylephrine HCI 2.5 mg: Nasal decongestant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'headache', 'sore throat\xc2\xa0', 'stuffy nose', 'cough', 'sneezing and runny nose', 'temporarily reduces fever']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 5 mL (1 teaspoon):
Acetaminophen 160 mg: Pain reliever/fever reducer
Chlorpheniramine maleate 1 mg: Antihistamine
Dextromethorphan HBr 5 mg: Cough Suppressant
Phenylephrine HCI 2.5 mg: Nasal decongestant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'cough', 'headache', 'sore throat\xc2\xa0', 'sneezing and runny nose\xc2\xa0', 'stuffy nose', 'temporarily reduces fever']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 0.8 mL:

			Acetaminophen 80mg: Pain reliever/fever reducer","['reduces fever', 'relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tflu\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\theadache', 'the common cold', 'flu', 'sore throat', 'toothache', 'headache']",
PediaCare,Children's Cough/Cold Combinations,11%,1067288,117401.68,"In each 1.25 mL:

			Ibuprofen 50 mg (NSAID)* Pain reliever/Fever reducer

			* nonsteroidal anti-inflammatory drug","['reduces fever', 'relieves minor aches and pains due to the common cold, flu, sore throat, headaches and toothaches']",
Children's Mucinex,Children's Cough/Cold Combinations,14%,1067288,149420.32,"Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Guaifenesin 200 mg; Expectorant

	Phenylephrine HCl 5 mg  Nasal decongestant","['temporarily relieves these common cold and flu symptoms:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tstuffy nose\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help your child get to sleep\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\theadache', 'nasal congestion', 'stuffy nose', 'cough due to minor throat and bronchial irritation', 'the intensity of coughing', 'the impulse to cough to help your child get to sleep', 'minor aches and pains', 'sore throat', 'headache', 'temporarily reduces fever', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive']",
Children's Mucinex,Children's Cough/Cold Combinations,14%,1067288,149420.32,"In each 10ml

	Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Guaifenesin 200 mg; Expectorant

	Phenylephrine HCl 5 mg; Nasal decongestant","['temporarily relieves these common cold and flu symptoms:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tstuffy nose\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help your child get to sleep\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\theadache', 'nasal congestion', 'stuffy nose', 'cough due to minor throat and bronchial irritation', 'the intensity of coughing', 'the impulse to cough to help your child get to sleep', 'minor aches and pains', 'sore throat', 'headache', 'temporarily reduces fever', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive']",
Children's Mucinex,Children's Cough/Cold Combinations,14%,1067288,149420.32,"Active ingredients (in each 5 mL):
Guaifenesin 100 mg; Expectorant
Phenylephrine HCl 2.5 mg; Nasal decongestant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tnasal congestion due to a cold\n\r\n\t\t\t\tstuffy nose', 'nasal congestion due to a cold', 'stuffy nose']",
Similasan Kids,Children's Homeopathic Cough Products,24%,474227,113814.48,"Antimonium sulphuratum aureum 12X: loosens mucus, moist cough, chest congestion

		Kali iodatum 12X: cold, fever, sneezing, runny nose, head congestion

		Senega officinalis 8X: expectorant, dry/hacking cough",,
Similasan Kids,Children's Homeopathic Cough Products,24%,474227,113814.48,"Belladonna* 6X: fever
Drosera 3X: nighttime spasmodic, hacking, tickling cough
Laurocerasus 4X: fever, hacking, dry cough
Rumex crispus 4X: hoarse throat, nasal congestion, dry cough worse with cold air
Senega officinalis 6X: nasal congestion, dry/tickling cough
Verbascum thapsus 6X: hoarse throat, spasmodic cough at night

*containing 0.0000000016% alkaloids calculated as hyoscyamine",,
Children's Chestal,Children's Homeopathic Cough Products,14%,474227,66391.78,"Antimonium tartaricum 6C; Helps loosen thick mucus
Bryonia alba 3C; Relieves dry and painful cough
Coccus cacti 3C; Relieves cough associated with a tickling in the throat
Drosera rotundifolia 3C;  Relieves barking cough worse at night
Ipecacuanha 3C; Relieves cough associated with nausea
Pulsatilla 6C;  Relieves wet cough during the day becoming worse at night
Rumex crispus 6C; Relieves dry cough triggered by cold air
Spongia tosta 3C; Relieves dry, croupy and barking cough
Sticta pulmonaria 3C; Relieves nighttime hacking cough","['Temporary relieves cough due to minor throat and bronchial irritation as may occur with a cold.', 'Helps loosen phlegms (mucus) and thin bronchial secretions to make coughs more productive.']",
Children's Chestal,Children's Homeopathic Cough Products,14%,474227,66391.78,"Dulcamara 5C HPUS; Relieves colds and cough worsened by exposure to damp cold

	Ferrum phosphoricum 9C HPUS; Relieves colds with gradual onset, minor sore throat, and dry, fitful cough

	Hydrastis canadensis 9C HPUS; Relieves colds and cough associated with runny nose

	Kali bichromicum 9C HPUS; Relieves nasal discharge

	Nux vomica 9C HPUS; Relieves sneezing attacks


		The letters HPUS indicate that this ingredient is officially included in the Homeopathic Pharmacopoeia of the United States.

		**C, K, CK, and X are homeopathic dilutions: see www.boironusa.com for details.","['nasal and chest congestion', 'fitful cough', 'sneezing', 'minor sore throat', 'runny or stuffy nose\xc2\xa0']",
Children's Chestal,Children's Homeopathic Cough Products,14%,474227,66391.78,"Antimonium tartaricum 6C; Helps loosen thick mucus
Bryonia alba 3C; Relieves dry and painful cough
Coccus cacti 3C; Relieves cough associated with a tickling in the throat
Drosera rotundifolia 3C;  Relieves barking cough worse at night
Ipecacuanha 3C; Relieves cough associated with nausea
Pulsatilla 6C;  Relieves wet cough during the day becoming worse at night
Rumex crispus 6C; Relieves dry cough triggered by cold air
Spongia tosta 3C; Relieves dry, croupy and barking cough
Sticta pulmonaria 3C; Relieves nighttime hacking cough","['Temporary relieves cough due to minor throat and bronchial irritation as may occur with a cold.', 'Helps loosen phlegms (mucus) and thin bronchial secretions to make coughs more productive.']",
Children's Advil,Children's Analgesics,11%,1671212,183833.32,"Ibuprofen 100 mg (NSAID)*; analgesic
	Pseudoephedrine HCl 15 mg; nasal decongestant

	*nonsteroidal anti-inflammatory drug","['nasal and sinus congestion', 'headache', 'stuffy nose', 'sore throat', 'minor aches and pains', 'fever']",
Children's Advil,Children's Analgesics,11%,1671212,183833.32,"In each 5 mL:
	Ibuprofen 100 mg (NSAID): Fever reducer/Pain reliever
	*nonsteroidal anti-inflammatory drug","['reduces fever', 'relieves minor aches and pains due to the common cold, flu, sore throat, headaches and toothaches']",
Children's Motrin,Children's Analgesics,26%,1671212,434515.12,"Active ingredient (in each 5 mL = 1 teaspoon)
Ibuprofen 100 mg/5 mL (NSAID*)

*nonsteroidal anti-inflammatory drug","['relieves minor aches and pains due to the common cold, flu, sore throat, headache and toothache', 'reduces fever']",
Children's Motrin,Children's Analgesics,26%,1671212,434515.12,"Active ingredient (in each 5 mL = 1 teaspoon)
Ibuprofen 100 mg/5 mL (NSAID)1
1nonsteroidal anti-inflammatory drug","['relieves minor aches and pains due to the common cold, flu, sore throat, headache and toothache', 'reduces fever']",
Children's Triaminic,Children's Cough,8 %,986949,78955.92,"In each 5 mL, 1 teaspoonful:

Dextromethorphan HBr 7.5 mg; Cough suppressant",,
Children's Triaminic,Children's Cough,8 %,986949,78955.92,"In each 5 mL, 1 teaspoonful:

Dextromethorphan HBr 5 mg; Cough suppressant
Guaifenesin 100 mg; Expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive', 'temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold']",
Children's Triaminic,Children's Cough,8 %,986949,78955.92,"In each 5 mL, 1 teaspoonful:

	Dextromethorphan HBr 5 mg; Cough suppressant
	Phenylephrine HCl 2.5 mg; Nasal decongestant ",['temporarily relieves'],
Children's Triaminic,Children's Cough,8 %,986949,78955.92,"In each 5 mL, 1 teaspoonful:

	Diphenhydramine HCl 6.25 mg; Antihistamine 
	Phenylephrine HCl 2.5; Cough suppressant","['temporarily relieves\r\n\t\t\r\n\t\t\t\xe2\x80\xa2 sneezing \xe2\x80\xa2 itchy nose or throat \xe2\x80\xa2 runny nose\n\r\n\t\t\t\xe2\x80\xa2 itchy, watery eyes due to hay fever \xe2\x80\xa2 nasal and sinus congestion\n\r\n\t\t\t\xe2\x80\xa2 cough due to minor throat and bronchial irritation as may occur with a cold']",
Children's Triaminic,Children's Cough,8 %,986949,78955.92,"In each 5 mL, 1 teaspoonful:

	Acetaminophen 160 mg; Pain reliever/fever reducer
	Dextromethorphan HBr 5 mg; Cough suppressant","['temporarily relieves minor aches and pains\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor sore throat pain\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with a cold', 'minor aches and pains', 'headache', 'minor sore throat pain', 'cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily reduces fever']",
Children's Delsym,Children's Cough,37%,986949,365171.13,"In each 10ml:
	Acetaminophen 325 mg; pain reliever/fever reducer
	Dextromethorphan HBr 10 mg; cough suppressant
	Guaifenesin 200 mg; expectorant
	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these common cold and flu symptoms:\r\n\t\t\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\theadache', 'cough', 'nasal congestion', 'sinus congestion and pressure', 'minor aches and pains', 'sore throat', 'headache', 'temporarily reduces fever', 'temporarily promotes nasal and/or sinus drainage', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productiv']",
Children's Delsym,Children's Cough,37%,986949,365171.13,"In each 5 mL:
	Dextromethorphan HBr 5 mg; cough suppressant
	Guaifenesin 100 mg; expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help you get to sleep', 'cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the intensity of coughing', 'the impulse to cough to help you get to sleep']",
Children's Delsym,Children's Cough,37%,986949,365171.13,"In each 5ml:
Dextromethorphan polistirex equivalent to 30 mg dextromethorphan hydrobromide; cough suppressant","['cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the impulse to cough to help you get to sleep']",
Children's Delsym,Children's Cough,37%,986949,365171.13,"In each 10ml:
Acetaminophen 325 mg; pain reliever/fever reducer
Diphenhydramine HCl 12.5 mg; antihistamine/cough suppressant
Phenylephrine HCl 5 mg; nasal decongest","['temporarily relieves these common cold and flu symptoms:\r\n\t\t\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\theadache\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'cough', 'nasal congestion', 'minor aches and pains', 'sore throat', 'headache', 'runny nose', 'sneezing', 'temporarily reduces fever', 'controls cough to help you get to sleep']",
Children's Dimetapp,Children's Cough,17%,986949,167781.33,"In each 5ml:
	Chlorpheniramine maleate, USP 1.0 mg; antihistamine
	Dextromethorphan HBr, USP 7.5 mg; cough suppressant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
