Name,Condition,Recommendations,Acrive Ingredients,Uses,
Aleve,Menstrual Pain Relief,119974.35,"In each capsule:
Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)1; pain reliever/fever reducer

1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tthe common cold', 'minor pain of arthritis', 'muscular aches', 'backache', 'menstrual cramps', 'headache', 'toothache', 'the common cold', 'temporarily reduces fever']",
Aleve,Menstrual Pain Relief,119974.35,"In each caplet
Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)1; pain reliever/fever reducer

1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tthe common cold', 'minor pain of arthritis', 'muscular aches', 'backache', 'menstrual cramps', 'headache', 'toothache', 'the common cold', 'temporarily reduces fever']",
Pamprin,Menstrual Pain Relief,31993.16,"In each caplet
Acetaminophen 250 mg; pain reliever
Aspirin 250 mg (NSAID*); pain reliever
Caffeine 65 mg; diuretic

*nonsteroidal anti-inflammatory drug","['cramps', 'headache', 'backache', 'fatigue\xc2\xa0', 'bloating']",
Pamprin,Menstrual Pain Relief,31993.16,"In each caplet
Acetaminophen 250 mg; pain reliever
Magnesium salicylate (NSAID*) 250 mg; pain reliever
Pamabrom 25 mg; diuretic

*nonsteroidal anti-inflammatory drug","['cramps\xc2\xa0', 'headache', 'backache\xc2\xa0', 'water-weight gain', 'bloating\xc2\xa0', 'muscular aches']",
Pamprin,Menstrual Pain Relief,31993.16,"In each caplet
Acetaminophen 500 mg; pain reliever
Pamabrom 25 mg; diuretic
Pyrilamine maleate 15 mg; antihistamine","['cramps\xc2\xa0', 'headache', 'bloating\xc2\xa0', 'backache', 'water-weight gain\xc2\xa0', 'muscular aches', 'irritability']",
Midol Complete,Menstrual Pain Relief,247946.99,"In each capsule
	Ibuprofen 200 mg (NSAID)1; Pain reliever/fever reducer

1nonsteroidal anti-inflammatory drug

	 ","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tthe common cold', 'menstrual cramps', 'headache', 'muscular aches', 'backache', 'minor pain of arthritis', 'toothache', 'the common cold', 'temporarily reduces fever']",
Midol Complete,Menstrual Pain Relief,247946.99,"In each gelcap:
Acetaminophen 500 mg; Pain reliever
Caffeine 60 mg; Diuretic
Pyrilamine maleate 15 mg; Antihistamine","['cramps', 'bloating', 'water-weight gain', 'headache', 'backache', 'muscle ache', 'fatigue']",
Midol Complete,Menstrual Pain Relief,247946.99,"In each caplet
Acetaminophen 500 mg; Pain reliever
Pamabrom 25 mg; Diuretic","['cramps', 'bloating', 'water-weight gain\xc2\xa0', 'headache', 'backache', 'muscle aches']",
Midol Complete,Menstrual Pain Relief,247946.99,"In each tablet
Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)1: Pain reliever/fever reducer

1nonsteroidal anti-inflammatory drug","['menstrual cramps', 'muscle aches', 'headache', 'backache', 'minor pain of arthritis', 'toothache', 'the common cold', 'temporarily reduces fever']",
Midol Complete,Menstrual Pain Relief,247946.99,"In each caplet:
Acetaminophen 500 mg; Pain reliever
Caffeine 60 mg; Diuretic
Pyrilamine maleate 15 mg; Antihistamine","['cramps', 'bloating', 'water-weight gain', 'headache', 'backache', 'muscle aches', 'fatigue']",
Midol Complete,Menstrual Pain Relief,247946.99,"In each caplet: 
Acetaminophen 500 mg; Pain reliever
Diphenhydramine citrate 38 mg; Nighttime sleep-aid",,
Motrin,Menstrual Pain Relief,167964.09,"In each tablet
Ibuprofen 200 mg (NSAID)1; pain reliever/fever reducer
1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmenstrual cramps', 'headache', 'muscular aches', 'minor pain of arthritis', 'toothache', 'backache', 'the common cold', 'menstrual cramps', 'temporarily reduces fever']",
Motrin,Menstrual Pain Relief,167964.09,"In each liquid gel
Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)1; pain reliever/fever reducer
(present as the free acid and potassium salt)

1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmenstrual cramps', 'headache', 'muscular aches', 'minor pain of arthritis', 'toothache', 'backache', 'the common cold', 'menstrual cramps', 'temporarily reduces fever']",
Boston Advance,Contact Lens Solutions,42603.05,"sterile, concentrated, homogeneous surfactant solution containing alkyl ether sulfate and silica gel as cleaning agents, titanium dioxide and fragrance.",,
Boston Advance,Contact Lens Solutions,42603.05,,,
Clear Eyes Pure Relief,Artificial Tears/Ophthalmic Lubricants,10192.83,"Polyvinyl alcohol 0.5%, Povidone 0.6%","['For the temporary relief of burning and irritation due to dryness of the eye.\xc2\xa0', 'For use as a protectant against further irritation or to relieve dryness of the eye.']",
Clear Eyes Pure Relief,Artificial Tears/Ophthalmic Lubricants,10192.83,"Polyvinyl alcohol 0.5%, Povidone 0.6%","['For the temporary relief of burning & irritations due to dryness of the eye', 'For use as a protectant against further irritation or to relieve dryness of the eye']",
Refresh,Artificial Tears/Ophthalmic Lubricants,336363.39,"Carboxymethylcellulose sodium 0.5%; Eye lubricant
Glycerin 1%; Eye lubricant
Polysorbate 80 0.5%; Eye lubricant","['For the temporary relief of burning, irritation, and discomfort due to dryness of the eye or exposure to wind or sun.', 'May be used as a protectant against further irritation.']",
Refresh,Artificial Tears/Ophthalmic Lubricants,336363.39,"Carboxymethylcellulose sodium 0.5%; Eye lubricant
	Glycerin 0.9%; Eye lubricant","['For the temporary relief of burning, irritation, and discomfort due to dryness of the eye or exposure to wind or sun.', 'May be used as a protectant against further irritation.']",
GenTeal,Artificial Tears/Ophthalmic Lubricants,61156.98,Hypromellose (0.2%), lubricant,"['Relieves dryness of the eye.\xc2\xa0', 'Temporarily relieves discomfort due to minor irritations of the eye or from exposure to wind\xc2\xa0and sun.\xc2\xa0', 'As a protectant against further irritation.']"
GenTeal,Artificial Tears/Ophthalmic Lubricants,61156.98,Hypromellose (0.3%), lubricant,"['Relieves dryness of the eye.\xc2\xa0', 'Temporarily relieves discomfort due to minor irritations of the eye or from exposure to wind\xc2\xa0and sun.\xc2\xa0', 'As a protectant against further irritation.']"
GenTeal,Artificial Tears/Ophthalmic Lubricants,61156.98,"Hypromellose (0.3%); lubricant
Carboxymethylcellulose sodium (0.25%); lubricant","['Relieves dryness of the eye.\xc2\xa0', 'Temporarily relieves discomfort due to minor irritations of the eye or from exposure to wind\xc2\xa0and sun.\xc2\xa0', 'As a protectant against further irritation.']",
GenTeal,Artificial Tears/Ophthalmic Lubricants,61156.98,Hypromellose (0.3%), lubricant,"['Relieves dryness of the eye.\xc2\xa0', 'Temporarily relieves discomfort due to minor irritations of the eye or from exposure to wind\xc2\xa0and sun.\xc2\xa0', 'As a protectant against further irritation.']"
Blink Tears,Artificial Tears/Ophthalmic Lubricants,20385.66,Polyethylene Glycol 400 0.25%, lubricant,"['For the temporary relief of burning, irritation and discomfort due to dryness of the eye or exposure to wind or sun.', 'May be used as a protectant against further irritation.']"
Blink Tears,Artificial Tears/Ophthalmic Lubricants,20385.66,Polyethylene Glycol 400 0.25%, lubricant,"['For the temporary relief of burning, irritation and discomfort due to dryness of the eye or exposure to wind or sun.', 'May be used as a protectant against further irritation.']"
Visine Tears,Artificial Tears/Ophthalmic Lubricants,30578.49,"Glycerin 0.2%, Hypromellose 0.36%, Polyethylene glycol 400 1%","['for temporary relief of burning, irritation and discomfort due to dryness of the eye or exposure to wind or sun', 'for protection against further irritation']",
Visine Tears,Artificial Tears/Ophthalmic Lubricants,30578.49,"Glycerin 0.2%, Hypromellose 0.2%, Polyethylene glycol 400 1%","['for temporary relief of burning and irritation due to dryness of the eye', 'for protection against further irritation']",
TheraTears,Artificial Tears/Ophthalmic Lubricants,20385.66,Sodium Carboxymethylcellulose 0.25%, lubricant,"['As a lubricant to relieve dryness of the eye.\xc2\xa0', 'As a protectant against further irritation of the eye.\xc2\xa0', 'For temporary relief of burning, irritation, and discomfort including exposure to wind or sun.']"
TheraTears,Artificial Tears/Ophthalmic Lubricants,20385.66,Sodium Carboxymethylcellulose 1%, lubricant,"['As a lubricant to relieve dryness of the eye.\xc2\xa0', 'As a protectant against further irritation of the eye.\xc2\xa0', 'For temporary relief of burning, irritation, and discomfort including exposure to wind or sun.']"
Tears Naturale,Artificial Tears/Ophthalmic Lubricants,101928.3,"Dextran 70 0.1%; lubricant
Glycerin 0.2%; lubricant
Hypromellose 0.3%; lubricant",,
Tears Naturale,Artificial Tears/Ophthalmic Lubricants,101928.3,"Dextran 70 0.1%; lubricant
Hypromellose 2910 0.3%; lubricant",,
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Glycerin 0.5%, Naphazoline hydrochloride 0.03%","['For the relief of redness of the eye due to minor eye irritations.\xc2\xa0', 'For the temporary relief of burning and irritation due to dryness of the eye.\xc2\xa0', 'For use as a protectant against further irritation or dryness of the eye.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Glycerin 0.5%, Naphazoline hydrochloride 0.03%","['for the relief of redness of the eye due to minor eye irritations.\xc2\xa0', 'for the temporary relief of burning and irritation due to the dryness of the eye.\xc2\xa0', 'for the use as a protectant against further irritation or dryness of the eye.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Glycerin 0.25%, Naphazoline hydrochloride 0.012%, Zinc sulfate 0.25%","['For use as a protectant against further irritation or to relieve dryness of the eye.\xc2\xa0', 'For the temporary relief of burning & irritation due to the dryness of the eye.\xc2\xa0', 'Relieves redness of the eye due to minor eye irritations.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Hypromellose 0.20%; Lubricant
	Naphazoline Hydrochloride 0.025%; Redness Reliever
	Polysorbate 80 0.50%; Lubricant
	Zinc Sulfate 0.25%; Lubricant","['For use as a protectant against further irritation or to relieve dryness of the eye.', 'For the temporary relief of burning & irritation due to the dryness of the eye.\xc2\xa0', 'Relieves redness of the eye due to minor eye irritations.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Glycerin 0.25%, Naphazoline hydrochloride 0.012%, Zinc Sulfate 0.25%

	 

	 ","['For use as a protectant against further irritation or to relieve dryness of the eye.', 'For the temporary relief of burning & irritation due to dryness of the eye.', 'Relieves redness of the eye due to minor eye irritations.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Naphazoline Hydrochloride 0.025%
Hypromellose 0.20%
Polysorbate 80 0.50%
Zinc Sulfate 0.25%","['For use as a protectant against further irritation or to relieve dryness of the eye.', 'For the temporary relief of burning & irritation due to the dryness of the eye.\xc2\xa0', 'Relieves redness of the eye due to minor eye irritations.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Glycerin 0.5%, Naphazoline hydrochloride 0.03%","['for the relief of redness of the eye due to minor eye irritations.\xc2\xa0', 'for the temporary relief of burning and irritation due to the dryness of the eye.\xc2\xa0', 'for the use as a protectant against further irritation or dryness of the eye.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Glycerin 0.25%, Naphazoline hydrochloride 0.012%","['Relieves redness of the eye due to minor eye irritations.', 'For use as a protectant against further irritation or to relieve dryness of the eye.\xc2\xa0', 'For the temporary relief of burning and irritation due to dryness of the eye.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Polyvinyl alcohol 0.5%, Povidone 0.6%, Tetrahydrozoline hydrochloride 0.05%","['For the temporary relief of burning & irritation due to the dryness of the eye.\xc2\xa0', 'For use as a protectant against further irritation or to relieve dryness of the eye.\xc2\xa0', 'Relieves redness of the eye due to minor eye irritations.']",
Clear Eyes,Ophthalmic Antihistamines/Decongestants,35693.88,"Polyvinyl alcohol 0.5%, Povidone 0.6%, Tetrahydrozoline hydrochloride 0.05%","['For the temporary relief of burning & irritation due to dryness of the eye.', 'For use as a protectant against further irritation or to relieve dryness of the eye.', 'Relieves redness of the eye due to minor eye irritations.']",
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Glycerin 0.2% - Lubricant
Hypromellose 0.36% - Lubricant
Polyethylene glycol 400 1% - Lubricant
Tetrahydrozoline HCl 0.05% - Redness Reliever
Zinc sulfate 0.25% - Astringent","['For temporary relief of discomfort and redness of the eye due to minor eye irritations', 'Relieves dryness of the eye', 'For the temporary relief of burning and irritation due to exposure to wind or sun', 'For protection against further irritation']",
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Dextran 70 0.1%; Lubricant
Polyethylene glycol 400 1%; Lubricant
Povidone 1%; Lubricant
Tetrahydrozoline HCl 0.05%; Redness reliever","['for the relief of redness of the eye due to minor eye irritations', 'for use as a protectant against further irritation or to relieve dryness of the eye']",
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,Oxymetazoline HCl 0.025%,,
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,Tetrahydrozoline HCl 0.05%,['for the relief of redness of the eye due to minor eye irritations'],
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Glycerin 0.2%; Lubricant
Hypromellose 0.36%; Lubricant
Polyethylene glycol 400 1%; Lubricant
Tetrahydrozoline HCl 0.05%; Redness reliever
Zinc sulfate 0.25%; Astrigent","['for temporary relief of discomfort and redness of the eye due to minor eye irritations', 'relieves dryness of the eye', 'for the temporary relief of burning and irritation due to exposure to wind or sun', 'for protection against further irritation']",
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Glycerin 0.2%; Lubricant
Hypromellose 0.36%; Lubricant
Polyethylene glycol 400 1%; Lubricant
Tetrahydrozoline HCl 0.05%; Redness reliever","['for the relief of redness of the eye due to minor eye irritations', 'for the temporary relief of burning and discomfort due to dryness of the eye or exposure to wind or sun', 'for protection against further irritation']",
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Naphazoline HCl 0.025%
Pheniramine maleate 0.3%","['pollen', 'ragweed', 'grass', 'animal hair and dander']",
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Glycerin 0.2% - Lubricant
Hypromellose 0.36% - Lubricant
Polyethylene glycol 400 1% - Lubricant
Tetrahydrozoline HCl 0.05% - Redness Reliever",,
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Tetrahydrozoline HCl 0.05%; Redness reliever
Zinc sulfate 0.25%; Astringent",,
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Dextran 70 0.1%; Lubricant
Polyethylene glycol 400 1%; Lubricant
Povidone 1%; Lubricant
Tetrahydrozoline HCl 0.05%; Redness reliever","['for the relief of redness of the eye due to minor eye irritations', 'for use as a protectant against further irritation or to relieve dryness of the eye']",
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Dextran 70 0.1% - Lubricant
Polyethylene glycol 400 1% - Lubricant
Povidone 1% - Lubricant
Tetrahydrozoline HCl 0.05% - Redness reliever","['For the relief of redness of the eye due to minor eye irritations', 'For use as a protectant against further irritation or to relieve dryness of the eye']",
Visine,Ophthalmic Antihistamines/Decongestants,107081.64,"Glycerin 0.2% - Lubricant
Hypromellose 0.36% - Lubricant
Polyethylene glycol 400 1% - Lubricant","['For the temporary relief of burning, irritation, and discomfort due to dryness of the eye or exposure to wind or sun', 'For protection against further irritation']",
Rohto,Ophthalmic Antihistamines/Decongestants,8923.47,"Hypromellose 0.2%; Lubricant

	Tetrahydrozoline HCl 0.05%; Redness reliever

	Zinc sulfate 0.25%; Astringent","['temporarily relieves redness of the eye and discomfort due to', 'minor eyes irritations', 'exposure to wind or sun', 'temporarily relieves burning and irritation due to dryness of the eye']",
Rohto,Ophthalmic Antihistamines/Decongestants,8923.47,"Naphazoline hydrochloride 0.03%; Redness reliever

	Polysorbate 80 0.2%; Lubricant","['relieves redness of the eye due to minor eye irritations', 'temporarily relieves burning and irritation due to dryness of the eye', 'for protection against further irritation']",
Rohto,Ophthalmic Antihistamines/Decongestants,8923.47,"Hypromellose 0.35%; Lubricant

	Tetrahydrozoline hydrochloride 0.05%; Redness reliever","['temporarily relieves burning and irritation due to dryness of the eye', 'relieves redness of the eye due to minor eye irritations']",
Rohto,Ophthalmic Antihistamines/Decongestants,8923.47,"Naphazoline hydrochloride 0.012%; Redness reliever

	Polysorbate 80 0.2%; Lubricant","['relieves redness of the eye due to minor eye irritations', 'temporarily relieves burning and irritation due to dryness of the eye']",
Rohto,Ophthalmic Antihistamines/Decongestants,8923.47,Hydroxyethyl cellulose 0.6%, Lubricant,"['temporarily relieves discomfort due to minor irritations of the eye or exposure to win or sun', 'lubricates to prevent further irritation or to relieve dryness of the eye']"
Rohto,Ophthalmic Antihistamines/Decongestants,8923.47,"Hypromellose 0.2%; Lubricant
Tetrahydrozoline HCl 0.05%; Redness reliever
Zinc sulfate 0.25%; Astringent","['temporarily relieves redness of the eye and discomfort due to\r\n\t\t\n\r\n\t\t\t\tminor eye irritations\n\r\n\t\t\t\texposure to wind and sun', 'minor eye irritations', 'exposure to wind and sun', 'temporarily relieves burning and irritation due to dryness of the eye']",
Cepacol,Sore Throat Liquids/Sprays/Strips,414375,"Benzocaine 5.0%; oral anestetics
Glycerin 33.0%; oral demulcent","['occasional\xc2\xa0minor irritation, pain, sore mouth and sore throat', 'pain due to canker sores\xc2\xa0', 'pain due to minor irritation or injury of the mouth and gums\xc2\xa0', 'minor\xc2\xa0discomfort and protection of irritated areas in sore mouth and sore throat']",
Cepacol,Sore Throat Liquids/Sprays/Strips,414375,Cetylpyridinium chloride 0.05%, Antigingivitis/Antiplaquet,"['gingivitis, an early form of gum disease']"
Chloraseptic,Sore Throat Liquids/Sprays/Strips,670312.5,"Phenol 1.5%; Oral Anesthetic/Analgesic

	Glycerin 33%; Demulcent","['relieves occasional minor irritation/discomfort/pain of sore throat & sore mouth', 'protects irritated areas in sore throat and sore mouth.']",
Chloraseptic,Sore Throat Liquids/Sprays/Strips,670312.5,"Phenol 1.5%; Oral Anesthetic/Analgesic
Glycerin 33%; Demulcent","['relieves occasional minor irritation/discomfort/pain of sore throat & sore mouth', 'protects irritated areas in sore throat and sore mouth.']",
Chloraseptic,Sore Throat Liquids/Sprays/Strips,670312.5,"Phenol 1.4%; oral analgesic, anesthetic",,
Chloraseptic,Sore Throat Liquids/Sprays/Strips,670312.5,"Phenol 0.5%; oral analgesic, anesthetic",,
Cepastat,Sore Throat Liquids/Sprays/Strips,97500,Phenol 29 mg, Oral Anesthetic,"['minor sore throat pain', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']"
Cepastat,Sore Throat Liquids/Sprays/Strips,97500,Phenol 14.5mg, oral anesthetic,"['minor sore throat pain', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']"
Ring Relief,Ear Pain Relief,32547.96,"Arnica montana HPUS 6x, 30x 
	Hepar sulph calc HPUS 13x 
	Hypericum perforatum HPUS 6x, 30x 
	Lycopodium clavatum HPUS 12x 
	Mercurius sol HPUS 13x 
	Salicylicum acidum HPUS 6x 
	Silicea HPUS 13x 
	Thiosinaminum HPUS 6x 

	""HPUS"" indicates the active ingredients are in the Homeopathic Pharmacopoeia of the United States.","['Ringing', 'Buzzing', 'Roaring', 'Nerve and Noise Sensitivity', 'Pounding', 'Discomfort', 'Wax buildup after diagnosis by a physician.\xc2\xa0']",
Ring Relief,Ear Pain Relief,32547.96,"Kali Sulphuricum 6x; Chirping, Crackling, Humming

	Salicylicum Acidum 6x,12x; Roaring, Ringing, Buzzing

	Silicea 6x; Pain, Discomfort

	Calcarea Sulphuricum 6x; Inner Ear Problems

	Chininum Sulphuricum 12x; Hardness of Hearing

	Thiosinaminum 6x,12x; Ringing (Tinnitus)","['Ringing', 'Buzzing', 'Roaring', 'Nerve and Noise Sensitivity', 'Pounding', 'Discomfort', 'Wax buildup after diagnosis by a physician.\xc2\xa0']",
Ring Relief,Ear Pain Relief,32547.96,"Kali Sulphuricum 6x; Chirping, Crackling, Humming

	Salicylicum Acidum 6x,12x; Roaring, Ringing, Buzzing

	Silicea 6x; Pain, Discomfort

	Calcarea Sulphuricum 6x; Inner Ear Problems

	Chininum Sulphuricum 12x; Hardness of Hearing

	Thiosinaminum 6x,12x; Eardrum Problems","['Ringing', 'Buzzing', 'Noises in ears', 'Pain and Discomfort']",
Hyland's Earache Tablets/Drops,Ear Pain Relief,115726.08,"Belladonna 30C HPUS: fever
Calcarea Carbonica 30C HPUS: throbbing ear pain
Chamomilla 30C HPUS: sleeplessness and irritability
Lycopodium 30C HPUS: ear pain
Pulsatilla 30C HPUS: ear itching, pain worse at night
Sulphur 30C HPUS: ear pain with burning",,
Hyland's Earache Tablets/Drops,Ear Pain Relief,115726.08,"Belladonna 30C HPUS: fever
Calcarea Carbonica 30C HPUS: throbbing ear pain
Chamomilla 30C HPUS: sleeplessness and irritability
Lycopodium 30C HPUS: ear pain
Pulsatilla 30C HPUS: ear itching, pain worse at night
Sulphur 30C HPUS: ear pain with burning",,
Cepastat,Sore Throat Lozenges,55051.56,Phenol 14.5mg, oral anesthetic,"['minor sore throat pain', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']"
Cepastat,Sore Throat Lozenges,55051.56,Phenol 29 mg, Oral Anesthetic,"['minor sore throat pain', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']"
Chloraseptic,Sore Throat Lozenges,289020.69,"In each lozenge:
	Menthol 10 mg; Oral Anesthetic/Analgesic",,
Chloraseptic,Sore Throat Lozenges,289020.69,"In each lozenge:
Benzocaine 15 mg; Oral Anesthetic/Analgesic",,
Chloraseptic,Sore Throat Lozenges,289020.69,"In each lozenge:

	Benzocaine 6 mg; Oral Anesthetic/Analgesic
	Dextromethorphan HBr 5 mg; Cough Suppressant
	Menthol 10 mg; Oral Anesthetic/Analgesic","['occasional minor irritation, pain, sore throat and sore mouth', 'cough due to minor throat and bronchial irritation as may occur with the common cold']",
Chloraseptic,Sore Throat Lozenges,289020.69,"In each lozenge:
	Benzocaine 15 mg; Oral Anesthetic/Analgesic",,
Chloraseptic,Sore Throat Lozenges,289020.69,"In each lozenge:

	Benzocaine 15 mg; Oral Anesthetic/Analgesic","['occasional minor irritation, pain, sore throat and sore mouth']",
Chloraseptic,Sore Throat Lozenges,289020.69,"In each lozenge:

	Benzocaine 15 mg; Oral Anesthetic/Analgesic

	Menthol 10 mg; Oral Anesthetic/Analgesic","['occasional minor irritation, pain, sore throat and sore mouth']",
Cepacol,Sore Throat Lozenges,522989.82,"(in each lozenge)
Benzocaine 15.0 mg; Oral anesthetic
Pectin 5.0 mg; Oral demulcent","['relieves occasional\xc2\xa0minor irritation, pain and discomfort of\xc2\xa0sore throat and sore mouth', 'protects irritated areas in sore throat and sore mouth']",
Cepacol,Sore Throat Lozenges,522989.82,"In each lozenge:
Benzocaine 4 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,Sore Throat Lozenges,522989.82,Menthol 3 mg  ,"['sore throat pain\xc2\xa0', 'sore mouth\xc2\xa0', 'minor mouth irritation']",
Cepacol,Sore Throat Lozenges,522989.82,"In each lozenge:
Benzocaine 3 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,Sore Throat Lozenges,522989.82,"In each lozenge:
Benzocaine 4 mg; oral pain reliever
Menthol 9 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,Sore Throat Lozenges,522989.82,Menthol 4.5 mg, Oral analgesic,"['sore throat pain\xc2\xa0', 'sore mouth\xc2\xa0', 'minor mouth irritation']"
Cepacol,Sore Throat Lozenges,522989.82,"In each lozenge:

	Benzocaine 7.5 mg; Oral pain reliever

	Dextromethorphan hydrobromide 5 mg; Cough suppressant

	 ","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores', 'cough due to minor throat and bronchial irritation as may occur with the common cold']",
Cepacol,Sore Throat Lozenges,522989.82,"In each lozenge:
Benzocaine 15 mg; oral pain reliever
Menthol 3.6 mg ; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,Sore Throat Lozenges,522989.82,"In each lozenge:
Benzocaine 7.5 mg; oral pain reliever
Dextromethorphan hydrobromide 5 mg; cough suppressant","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores', 'cough due to minor throat and bronchial irritation as may occur with the common cold']",
Cepacol,Sore Throat Lozenges,522989.82,"In each lozenge:
Benzocaine 6.0 mg; oral anesthetic",,
Cepacol,Sore Throat Lozenges,522989.82,"Benzocaine 15.0 mg, Menthol 3.6 mg           ","['sore throat pain\xc2\xa0', 'sore mouth\xc2\xa0', 'minor mouth irritation\xc2\xa0', 'pain associated with canker sores']",
VapoDrops,Sore Throat Lozenges,13762.89,"Per drop:
Menthol 1.7 ; cough suppressant, oral anesthetic","['cough due to a cold or inhaled irritants', 'minor sore throat']",
VapoDrops,Sore Throat Lozenges,13762.89,"Per drop:
Menthol 3.3 mg; cough suppressant, oral anesthetic","['cough due to a cold or inhaled irritants', 'minor sore throat']",
Sucrets,Sore Throat Lozenges,55051.56,"In each lozenge:
Dextromethorphan Hydrobromide 10mg; cough suppressant",,
Sucrets,Sore Throat Lozenges,55051.56,"per lozenge:
Dyclonine Hydrochloride 3.0 mg; Oral Anesthetic/Analgesic
Menthol 6.0 mg; Cough Suppressant","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants']",
Sucrets,Sore Throat Lozenges,55051.56,"per lozenge: 
Hexylresorcinol 2.4 mg; Sore Throat/Oral Anesthetic","['minor irritation', 'pain', 'sore mouth', 'sore throat']",
Sucrets,Sore Throat Lozenges,55051.56,"In each lozange:

	Menthol 3.3 mg, Pectin 12.5 mg","['Temporarily relieves occasional minor irritation, pain, sore throat and sore mouth', 'For protection of irritated areas in sore mouth and throat']",
Sucrets,Sore Throat Lozenges,55051.56,"Per lozenge:
Menthol 5.0 mg; cough suppressant
Pectin 6.0 mg; demulcent","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants', 'for protection of irritated areas in sore mouth and throat']",
Sucrets,Sore Throat Lozenges,55051.56,"In each lozange:
Dyclonine Hydrochloride 1.2 mg; Oral Anesthetic","['pain', 'minor irritation', 'sore mouth', 'sore throat']",
Sucrets,Sore Throat Lozenges,55051.56,,,
